asset_id,asset_type,substation_region,grid_failure_flag,predicted_failure_prob,expected_impact,risk_score
100000,Transmission Line,Central,0,0.035,927098.8674999999,32448.4603625
100001,Switchgear,Central,0,0.015,1081158.5776,16217.378663999998
100002,Transmission Line,North,1,0.825,607234.1428,500968.16781
100003,Transmission Line,South,0,0.14,969766.94796,135767.37271440003
100004,Circuit Breaker,South,1,0.955,484597.94324,462791.03579419997
100005,Substation,Central,1,0.845,703101.38147,594120.66734215
100006,Transformer,North,1,0.425,1117148.5537,474788.1353225
100007,Transmission Line,South,1,0.795,1152520.0914,916253.4726630001
100008,Circuit Breaker,Central,1,0.8,398720.5222,318976.41776000004
100009,Transmission Line,Central,1,0.725,155423.01046,112681.68258349999
100010,Circuit Breaker,North,1,0.935,267774.302225,250368.972580375
100011,Transformer,South,0,0.075,332275.04909999995,24920.628682499995
100012,Substation,South,1,0.73,505143.8174,368754.98670199997
100013,Circuit Breaker,North,0,0.14,624643.9988,87450.159832
100014,Transmission Line,East,1,0.79,826326.858,652798.21782
100015,Transmission Line,North,1,0.915,1282821.4452,1173781.622358
100016,TRANSFORMER,East,0,0.025,754579.5625,18864.4890625
100017,Circuit Breaker,East,0,0.07,1292552.1672,90478.651704
100018,Switchgear,South,1,0.935,1116737.7052,1044149.754362
100019,Circuit Breaker,West,0,0.03,425592.27856,12767.7683568
100020,Transmission Line,North,1,0.815,1161376.1953,946521.5991694999
100021,Transformer,North,1,0.865,806817.6111999999,697897.2336879999
100022,Transformer,West,1,0.97,1079360.0544,1046979.252768
100023,Substation,West,1,0.98,137797.66107,135041.7078486
100024,Substation,South,0,0.03,1181520.0974,35445.602922
100025,Transformer,West,0,0.255,914144.622,233106.87860999999
100026,Switchgear,South,1,0.8,639895.1769,511916.14152
100027,Circuit Breaker,East,0,0.105,519865.865,54585.915825
100028,Switchgear,South,0,0.3,108422.94240799999,32526.882722399994
100029,Transformer,South,0,0.22,987961.2323,217351.471106
100030,transformer,West,1,0.76,741926.56179,563864.1869604
100031,Circuit Breaker,Central,0,0.05,393004.2883,19650.214415000002
100032,Substation,South,1,0.895,700610.1109,627046.0492555
100033,Substation,East,1,0.93,1006357.2294899999,935912.2234257
100034,Substation,South,0,0.01,239547.06326999998,2395.4706327
100035,Transmission Line,North,0,0.0,630306.6221,0.0
100036,Switchgear,Central,1,0.92,450034.994,414032.19448
100037,Transmission Line,South,0,0.055,1143374.555,62885.600524999994
100038,Transmission Line,Central,0,0.05,984325.9583,49216.297915
100039,Substation,West,0,0.0,815351.4426,0.0
100040,Circuit Breaker,North,1,0.965,357950.57246000005,345422.30242390005
100041,Substation,North,1,0.84,299653.5965,251709.02105999997
100042,Circuit Breaker,West,1,0.82,649458.8319,532556.242158
100043,Transmission Line,West,0,0.095,443362.68128,42119.4547216
100044,Substation,North,1,0.87,403808.24076,351313.1694612
100045,Transmission Line,South,0,0.035,397989.85667,13929.644983450002
100046,Switchgear,South,0,0.295,640331.4764,188897.785538
100047,Circuit Breaker,Central,0,0.005,300383.63268,1501.9181634
100048,Transformer,East,0,0.05,541821.687,27091.084350000005
100049,Transformer,North,0,0.32,854136.7899,273323.772768
100050,Transmission Line,West,0,0.075,400757.5255,30056.814412499996
100051,Switchgear,West,1,0.945,1037333.557,980280.211365
100052,Circuit Breaker,North,0,0.085,847619.6191,72047.6676235
100053,Circuit Breaker,North,0,0.005,948401.1913,4742.0059565
100054,Circuit Breaker,Central,0,0.05,516029.51190000004,25801.475595000004
100055,Transformer,South,0,0.12,641295.2513,76955.430156
100056,Switchgear,West,0,0.125,968890.3670000001,121111.29587500001
100057,Switchgear,South,1,0.945,1215489.9852,1148638.036014
100058,Substation,West,0,0.035,180767.20109999998,6326.8520385
100059,Transformer,Central,0,0.235,931197.5014300001,218831.41283605
100060,Switchgear,South,0,0.095,709206.44,67374.6118
100061,Switchgear,North,0,0.025,1211544.725,30288.618125000005
100062,Circuit Breaker,West,1,0.815,1085853.179,884970.340885
100063,Transmission Line,East,0,0.3,517202.5327,155160.75981
100064,Switchgear,East,1,0.58,602485.2888,349441.46750399994
100065,Substation,South,1,0.895,428594.6859,383592.24388049997
100066,Transmission Line,West,0,0.14,1117589.0888,156462.472432
100067,Transformer,East,1,0.885,1037174.6142,917899.533567
100068,Transformer,West,0,0.025,394704.90345,9867.62258625
100069,Transmission Line,Central,0,0.005,433240.23809999996,2166.2011905
100070,Circuit Breaker,Central,0,0.175,719162.7778,125853.48611499999
100071,Transmission Line,North,1,0.805,884296.912,711859.01416
100072,Transformer,South,0,0.125,885100.55856,110637.56982
100073,Switchgear,South,0,0.03,218965.09933,6568.952979899999
100074,Transmission Line,East,0,0.0,834281.3055,0.0
100075,Substation,South,1,0.83,1123363.1059,932391.377897
100076,Switchgear,South,1,0.97,466779.59530000004,452776.20744100004
100077,Circuit Breaker,East,1,0.775,903533.0906,700238.145215
100078,Transformer,West,1,0.97,341888.64919,331631.9897143
100079,Transmission Line,South,1,0.88,491947.7483,432914.018504
100080,Transmission Line,Central,0,0.05,974463.5039329999,48723.17519665
100081,Transformer,East,0,0.12,405414.06189,48649.6874268
100082,Transformer,North,1,0.865,142287.84863,123078.98906494999
100083,Switchgear,East,0,0.02,694542.4051,13890.848102
100084,Transformer,West,0,0.19,483320.5334,91830.901346
100085,Substation,East,0,0.035,1008028.1537,35280.9853795
100086,Switchgear,South,1,0.95,544294.824,517080.0828
100087,Transformer,West,0,0.05,536371.6156,26818.580780000004
100088,Substation,East,1,0.875,1398687.6044,1223851.6538500001
100089,Circuit Breaker,West,1,0.84,1186949.4712,997037.555808
100090,Circuit Breaker,South,0,0.015,797163.051,11957.445764999999
100091,Transmission Line,East,0,0.04,515806.7513,20632.270052
100092,Switchgear,West,0,0.065,523468.01411,34025.42091715
100093,Transformer,East,1,0.89,795841.09476,708298.5743364
100094,Transmission Line,East,0,0.09,998791.212,89891.20908
100095,Transmission Line,Central,0,0.075,804383.1229,60328.734217499994
100096,Transformer,East,1,0.85,603831.5446,513256.81291
100097,Transformer,West,1,0.895,609509.5437,545511.0416115001
100098,Switchgear,North,1,0.69,481856.45889,332480.9566341
100099,Switchgear,North,1,0.89,453656.51430000004,403754.297727
100100,Transformer,South,0,0.125,1453252.6047999999,181656.57559999998
100101,Transmission Line,North,0,0.775,920544.8559000001,713422.2633225
100102,transformer,West,0,0.19,592758.4654,112624.10842599999
100103,Transformer,North,0,0.165,860731.7356,142020.736374
100104,Switchgear,Central,0,0.045,677736.3866999999,30498.137401499996
100105,Switchgear,East,0,0.025,999823.84787,24995.596196750004
100106,Transmission Line,North,1,0.765,566361.8428,433266.809742
100107,Transmission Line,Central,0,0.475,604803.1209,287281.48242749996
100108,Switchgear,East,0,0.015,606492.3678,9097.385517
100109,Transformer,South,1,0.62,1010905.0197,626761.112214
100110,Switchgear,East,0,0.065,631066.3385,41019.312002499995
100111,Transformer,West,1,0.93,531846.2482,494617.01082600007
100112,Switchgear,East,1,0.93,782781.6464,727986.931152
100113,Switchgear,South,0,0.215,1142334.1722,245601.84702299998
100114,Transmission Line,North,1,0.945,464365.2816,438825.191112
100115,Switchgear,West,0,0.155,631803.2043999999,97929.49668199998
100116,Circuit Breaker,Central,0,0.065,453333.3247,29466.6661055
100117,Transmission Line,North,0,0.035,377808.2302,13223.288057000002
100118,Transformer,Central,0,0.055,322579.15399,17741.85346945
100119,Transmission Line,North,1,0.76,973028.3002,739501.508152
100120,Circuit Breaker,South,0,0.135,766780.538466,103515.37269291001
100121,Circuit Breaker,Central,0,0.035,1026106.46841,35913.72639435
100122,Switchgear,North,1,0.9,1171450.1942,1054305.17478
100123,Transformer,West,1,0.62,1133224.5778,702599.2382360001
100124,Switchgear,North,0,0.23,778796.6482,179123.229086
100125,Transmission Line,North,0,0.185,1257150.241,232572.794585
100126,transformer,North,1,0.915,1206608.8257,1104047.0755155
100127,Circuit Breaker,West,0,0.08,466703.58310000005,37336.286648
100128,Circuit Breaker,Central,0,0.02,1181431.6209,23628.632418
100129,Transmission Line,North,1,0.765,646659.9307,494694.8469855
100130,Transformer,South,1,0.86,792526.0473,681572.400678
100131,Transmission Line,North,0,0.12,547388.23599,65686.58831879999
100132,Transmission Line,South,1,0.905,762793.9397,690328.5154285
100133,Transmission Line,North,0,0.015,332623.2683,4989.349024499999
100134,Transmission Line,Central,0,0.085,1113350.9025,94634.82671250001
100135,Transformer,East,1,0.515,693196.6813,356996.2908695
100136,Transmission Line,South,1,0.89,557072.2064,495794.26369600004
100137,Transmission Line,West,0,0.49,381761.0376,187062.908424
100138,Transmission Line,South,0,0.035,1341909.8011,46966.8430385
100139,Transmission Line,East,0,0.04,526276.7394,21051.069575999998
100140,TRANSFORMER,South,0,0.015,871581.0907000001,13073.7163605
100141,Substation,South,1,0.93,563999.0065799999,524519.0761194
100142,Transformer,North,0,0.055,871580.5692,47936.931306
100143,TRANSFORMER,Central,1,0.875,696951.6462,609832.6904249999
100144,Transmission Line,East,1,0.885,222045.58198999998,196510.34006114997
100145,Transformer,North,1,0.875,297244.67252,260089.08845500002
100146,Switchgear,North,0,0.235,668226.0358,157033.118413
100147,Transformer,Central,1,0.96,1277180.5287000001,1226093.307552
100148,Transmission Line,West,1,0.965,1313437.824,1267467.50016
100149,Circuit Breaker,Central,0,0.125,76095.65497999999,9511.956872499999
100150,Transformer,East,1,0.805,1138587.7844,916563.1664420001
100151,transformer,East,1,0.92,529636.20828,487265.31161760003
100152,Transformer,East,1,0.95,1038115.8038,986210.0136099999
100153,Circuit Breaker,South,1,0.995,364829.7907,363005.6417465
100154,Transformer,North,0,0.045,682966.5676,30733.495541999997
100155,Transformer,North,0,0.06,1452530.4059,87151.824354
100156,Switchgear,North,0,0.47,661742.0249000001,311018.75170300005
100157,Transformer,North,0,0.08,433874.9345,34709.99476
100158,Transformer,South,0,0.085,670589.8522000001,57000.13743700001
100159,Circuit Breaker,North,0,0.36,157197.57834,56591.1282024
100160,Transmission Line,North,1,0.95,868009.4663,824608.9929849999
100161,Switchgear,North,0,0.28,649652.1624,181902.60547200002
100162,Circuit Breaker,North,1,0.89,889194.8441,791383.411249
100163,Transmission Line,East,1,0.445,636054.2707100001,283044.15046595
100164,Substation,South,0,0.125,392250.30374999996,49031.287968749995
100165,Substation,East,0,0.17,661377.5693000001,112434.18678100003
100166,transformer,East,1,0.98,1155629.8984,1132517.300432
100167,Substation,Central,1,0.98,1099066.0079,1077084.687742
100168,Switchgear,East,0,0.32,577593.8011,184830.016352
100169,Switchgear,West,0,0.3,258851.1243,77655.33729
100170,Switchgear,South,0,0.015,204020.80589,3060.3120883499996
100171,Transformer,West,1,0.97,526805.40382,511001.2417054
100172,Substation,East,0,0.005,904456.46366,4522.2823183
100173,Transmission Line,Central,0,0.285,341442.4213,97311.0900705
100174,Transmission Line,North,0,0.2,558352.0805,111670.41610000002
100175,Transformer,Central,1,0.84,434106.1615,364649.17565999995
100176,Substation,East,0,0.045,834740.6042,37563.327188999996
100177,Transformer,West,0,0.07,967143.73899,67700.06172930001
100178,Circuit Breaker,North,1,0.9,1346007.7261,1211406.9534900002
100179,Circuit Breaker,East,1,0.85,776357.9717999999,659904.27603
100180,Transformer,South,1,0.84,428666.00049999997,360079.44041999994
100181,Switchgear,East,1,0.815,1059198.0204,863246.3866259999
100182,Circuit Breaker,North,1,0.985,711054.63431,700388.81479535
100183,Transformer,Central,0,0.245,509845.4413,124912.1331185
100184,Circuit Breaker,Central,0,0.155,1160980.0217,179951.9033635
100185,Substation,West,1,0.885,150553.955229,133240.250377665
100186,Switchgear,West,0,0.06,613332.7213,36799.963277999996
100187,Switchgear,East,1,0.685,363676.61109,249118.47859665003
100188,Circuit Breaker,West,1,0.895,864348.9027,773592.2679165
100189,Transmission Line,East,0,0.005,981899.9461000001,4909.499730500001
100190,Transmission Line,West,1,0.81,915670.62355,741693.2050755001
100191,Substation,East,0,0.44,959679.5455,422259.00002
100192,Substation,East,1,0.925,990924.8806200001,916605.5145735001
100193,transformer,North,0,0.01,699965.3884,6999.653884
100194,Transformer,North,1,0.94,1005728.8137,945385.084878
100195,Switchgear,North,0,0.13,1327676.5887,172597.956531
100196,Substation,South,0,0.18,1004031.2074,180725.617332
100197,Circuit Breaker,North,0,0.03,961284.843,28838.54529
100198,Transmission Line,East,0,0.03,899499.5067,26984.985201
100199,Transmission Line,North,0,0.075,962671.6679,72200.37509249999
100200,Transformer,North,0,0.55,1281243.472,704683.9096000001
100201,Transformer,Central,1,0.73,804036.04547,586946.3131931
100202,Transformer,South,0,0.005,676208.3992999999,3381.0419964999996
100203,Switchgear,East,0,0.11,605394.5992,66593.405912
100204,Circuit Breaker,North,0,0.135,1322887.3122,178589.78714700002
100205,Switchgear,West,0,0.025,658018.3215999999,16450.458039999998
100206,Substation,Central,1,0.65,1050295.5732,682692.12258
100207,Transformer,West,0,0.075,1033301.8828,77497.64121
100208,Transformer,South,0,0.155,427736.45440000005,66299.15043200001
100209,Transformer,North,1,0.955,436461.815,416821.03332499997
100210,Transformer,West,1,0.96,85679.63768,82252.4521728
100211,Switchgear,Central,1,0.845,561473.2779,474444.9198255
100212,Circuit Breaker,Central,0,0.03,445721.07094999996,13371.632128499998
100213,Switchgear,South,1,0.955,828881.7646999999,791582.0852885
100214,Switchgear,South,0,0.105,908457.6161,95388.04969049999
100215,Circuit Breaker,North,1,0.995,1046725.27106,1041491.6447047001
100216,Substation,Central,1,0.82,826349.6302,677606.696764
100217,Transformer,South,1,0.98,977800.0989999999,958244.0970199999
100218,Switchgear,South,1,0.945,664535.9691999999,627986.4908939999
100219,Transmission Line,East,0,0.04,606523.7585100001,24260.950340400002
100220,Transmission Line,North,0,0.2,333127.96875,66625.59375
100221,Circuit Breaker,Central,0,0.005,560436.04077,2802.18020385
100222,Substation,Central,0,0.035,929533.6096000001,32533.676336000008
100223,Transformer,South,0,0.26,502398.24832,130623.5445632
100224,Substation,South,0,0.52,564601.86867,293592.9717084
100225,Circuit Breaker,Central,0,0.065,650548.9168,42285.679592
100226,Transmission Line,North,1,0.81,183420.87914,148570.9121034
100227,Circuit Breaker,South,1,0.22,1180125.3549,259627.578078
100228,Transmission Line,East,1,0.955,753203.2879,719309.1399444999
100229,Transformer,West,1,0.82,1099945.786,901955.54452
100230,Substation,South,0,0.035,717251.3238,25103.796333000002
100231,Transmission Line,North,0,0.03,884065.069,26521.95207
100232,Transformer,North,0,0.07,555361.9943,38875.33960100001
100233,Transmission Line,South,1,0.98,995043.7461000001,975142.8711780001
100234,Transmission Line,West,1,0.94,1160521.3838,1090890.100772
100235,Transmission Line,Central,0,0.12,462671.2462,55520.549543999994
100236,Substation,West,1,0.805,788678.5754,634886.253197
100237,Switchgear,West,0,0.1,916838.6747000001,91683.86747000001
100238,Switchgear,West,1,0.67,266019.89719,178233.3311173
100239,Circuit Breaker,West,0,0.055,783111.6539,43071.1409645
100240,Transformer,North,1,0.9,1102449.3029,992204.3726100001
100241,Substation,Central,1,0.895,887587.442,794390.7605900001
100242,Switchgear,West,0,0.265,462398.3071,122535.5513815
100243,Substation,West,1,0.82,734949.2291,602658.367862
100244,Circuit Breaker,West,1,0.925,580287.14507,536765.60918975
100245,Transmission Line,North,1,0.91,334569.6082,304458.343462
100246,Substation,North,1,0.835,277560.42590000003,231762.9556265
100247,Transmission Line,West,1,0.92,1258601.8314,1157913.6848880001
100248,Circuit Breaker,East,0,0.155,937058.7678,145244.109009
100249,Substation,South,0,0.015,870909.5133999999,13063.642700999999
100250,Circuit Breaker,West,0,0.175,681369.365,119239.63887499999
100251,Circuit Breaker,North,0,0.01,690134.1523399999,6901.3415233999995
100252,Substation,South,0,0.035,433273.82409999997,15164.5838435
100253,Switchgear,East,1,0.96,667691.4321000001,640983.774816
100254,Transmission Line,South,0,0.095,382169.8974,36306.140253000005
100255,Substation,South,1,0.98,747963.7019,733004.427862
