feature,importance
num__equipment_health_score,0.13673608692899358
num__storm_risk_index,0.11967006739004554
num__load_utilization_pct,0.07509489463241709
num__voltage_fluctuation_pct,0.06993490058492423
num__maintenance_overdue_days,0.06892701038289804
num__inspection_score,0.0661484661370348
num__oil_quality_score,0.06083128020523838
num__transformer_temperature_c,0.037630993453543315
num__wind_speed_kmh,0.023080805074709755
num__temperature_c,0.022765313979515926
num__rainfall_mm,0.022701130924850776
num__humidity_pct,0.022662109595245773
num__estimated_revenue_loss,0.02264997423749046
num__regulatory_penalty_cost,0.022584067556057564
num__avg_outage_duration_minutes,0.022584063479315894
num__customers_served,0.02255255901456307
num__vibration_level,0.02253420220432435
num__power_load_mw,0.022364985666335536
num__frequency_deviation_hz,0.02230337254694162
num__grid_cluster_id,0.01859012498884204
num__asset_age_years,0.017656260959785883
num__previous_outages_12m,0.016997397145786367
num__customer_complaints_last_12m,0.012800836408983291
num__maintenance_events_last_12m,0.01120420279699198
cat__substation_region_West,0.0026924517003917496
cat__manufacturer_Schneider,0.0025913528314599403
cat__asset_type_Transformer,0.0025762644912602005
cat__substation_region_East,0.0025555533721194185
cat__substation_region_Central,0.0025378336069042723
cat__manufacturer_GE,0.0025264194993115025
cat__asset_type_Circuit Breaker,0.0025120594450350475
cat__manufacturer_ABB,0.002511540369769315
cat__substation_region_North,0.00249505742241766
cat__manufacturer_Siemens,0.002494004238880894
cat__asset_type_Transmission Line,0.0024897796820802453
cat__asset_type_Switchgear,0.002462311242905305
cat__manufacturer_Hitachi,0.002454373989086801
cat__asset_type_Substation,0.0024296621934389094
cat__substation_region_South,0.0024258063267057033
cat__asset_type_TRANSFORMER,0.0006306238124372614
cat__asset_type_transformer,0.0006097994809605489
