asset_type,substation_region,avg_failure_prob,total_expected_impact,avg_risk_score
Circuit Breaker,Central,0.4383444387493593,1613442365.8346345,377125.57200034504
Circuit Breaker,East,0.4087775551102204,1796689849.479443,389029.96790839476
Circuit Breaker,North,0.43870213823968174,1800945540.7078052,361357.4039320843
Circuit Breaker,South,0.433374677002584,1621250004.5528512,374132.0139531606
Circuit Breaker,West,0.4150477200424178,1549025812.6347096,331722.3769032852
Substation,Central,0.42214097148891233,1574491643.3673072,366140.04055869667
Substation,East,0.44161051556916797,1826149513.8781009,406072.6739044936
Substation,North,0.42836048879837063,1687930097.4349587,335056.025009563
Substation,South,0.417999487704918,1621250048.8131812,359224.7282793312
Substation,West,0.43211040676175383,1566880354.377988,360963.23227563093
Switchgear,Central,0.43544549266247384,1579665593.8418438,336042.9852104081
Switchgear,East,0.43549404170804373,1654210850.6265814,351105.49100642104
Switchgear,North,0.42508812856402284,1695947975.596154,431788.4529454251
Switchgear,South,0.43449367088607593,1537043699.9827175,347063.45504633355
Switchgear,West,0.4184967155128853,1625383118.531796,344125.3377141199
TRANSFORMER,Central,0.4686764705882353,101991386.854914,349705.1626619944
TRANSFORMER,East,0.4520068027210885,211780846.645004,912861.0155196021
TRANSFORMER,North,0.4429166666666667,95521620.7625448,310240.9036504568
TRANSFORMER,South,0.35984662576687115,168958668.8583691,287025.12191184354
TRANSFORMER,West,0.4148905109489051,102666787.806889,319153.96573453443
Transformer,Central,0.4274448705656759,1689443717.84331,378656.5990338597
Transformer,East,0.4304587378640777,1935223934.531948,417599.7000154471
Transformer,North,0.43305624074987664,1735778389.8949296,404552.3662017825
Transformer,South,0.42040999514798644,1551465644.016837,309902.4212408972
Transformer,West,0.43607974244675585,1657801466.3455377,343325.2758303244
Transmission Line,Central,0.4368357609241587,1689610455.2291772,357046.75173051486
Transmission Line,East,0.43793388429752067,1767487353.2485356,420814.4399934785
Transmission Line,North,0.41637903225806455,1442567567.0261576,309436.0636022234
Transmission Line,South,0.4357244467860906,1636045257.1181216,364281.16824530234
Transmission Line,West,0.4269862315145334,1811359127.191602,425097.1976255841
transformer,Central,0.42357142857142854,142007162.744525,355149.6357902287
transformer,East,0.39286885245901637,88884792.193796,290035.9463713662
transformer,North,0.4363888888888889,141092792.477398,528487.7661508046
transformer,South,0.39302325581395353,96413250.565044,308720.6005418404
transformer,West,0.4509124087591241,110491723.2442947,358618.8684793903
